timestamp,period,result,size,color
2026-04-14 10:14:40,20260414100050519,7,Big,Green
2026-04-14 10:14:38,20260414100050520,3,Small,Green
2026-04-14 10:14:38,20260414100050521,5,Big,Green+Violet
2026-04-14 10:14:38,20260414100050522,1,Small,Green
2026-04-14 10:14:38,20260414100050523,4,Small,Red
2026-04-14 10:14:38,20260414100050524,3,Small,Green
2026-04-14 10:14:38,20260414100050525,8,Big,Red
2026-04-14 10:14:38,20260414100050526,1,Small,Green
2026-04-14 10:14:38,20260414100050527,6,Big,Red
2026-04-14 10:14:38,20260414100050528,6,Big,Red
2026-04-14 10:14:38,20260414100050529,0,Small,Red+Violet
2026-04-14 10:14:37,20260414100050530,8,Big,Red
2026-04-14 10:14:37,20260414100050531,1,Small,Green
2026-04-14 10:14:37,20260414100050532,5,Big,Green+Violet
2026-04-14 10:14:37,20260414100050533,7,Big,Green
2026-04-14 10:14:37,20260414100050534,5,Big,Green+Violet
2026-04-14 10:14:37,20260414100050535,9,Big,Green
2026-04-14 10:14:37,20260414100050536,3,Small,Green
2026-04-14 10:14:37,20260414100050537,2,Small,Red
2026-04-14 10:14:37,20260414100050538,7,Big,Green
2026-04-14 10:14:37,20260414100050539,3,Small,Green
2026-04-14 10:14:35,20260414100050540,3,Small,Green
2026-04-14 10:14:35,20260414100050541,9,Big,Green
2026-04-14 10:14:35,20260414100050542,5,Big,Green+Violet
2026-04-14 10:14:35,20260414100050543,7,Big,Green
2026-04-14 10:14:35,20260414100050544,4,Small,Red
2026-04-14 10:14:35,20260414100050545,5,Big,Green+Violet
2026-04-14 10:14:35,20260414100050546,8,Big,Red
2026-04-14 10:14:35,20260414100050547,7,Big,Green
2026-04-14 10:14:35,20260414100050548,8,Big,Red
2026-04-14 10:14:35,20260414100050549,4,Small,Red
2026-04-14 10:14:34,20260414100050550,3,Small,Green
2026-04-14 10:14:34,20260414100050551,1,Small,Green
2026-04-14 10:14:34,20260414100050552,5,Big,Green+Violet
2026-04-14 10:14:34,20260414100050553,6,Big,Red
2026-04-14 10:14:34,20260414100050554,1,Small,Green
2026-04-14 10:14:34,20260414100050555,6,Big,Red
2026-04-14 10:14:34,20260414100050556,0,Small,Red+Violet
2026-04-14 10:14:34,20260414100050557,4,Small,Red
2026-04-14 10:14:34,20260414100050558,5,Big,Green+Violet
2026-04-14 10:14:34,20260414100050559,0,Small,Red+Violet
2026-04-14 10:14:32,20260414100050560,8,Big,Red
2026-04-14 10:14:32,20260414100050561,0,Small,Red+Violet
2026-04-14 10:14:32,20260414100050562,2,Small,Red
2026-04-14 10:14:32,20260414100050563,0,Small,Red+Violet
2026-04-14 10:14:32,20260414100050564,5,Big,Green+Violet
2026-04-14 10:14:32,20260414100050565,2,Small,Red
2026-04-14 10:14:32,20260414100050566,9,Big,Green
2026-04-14 10:14:32,20260414100050567,0,Small,Red+Violet
2026-04-14 10:14:32,20260414100050568,5,Big,Green+Violet
2026-04-14 10:14:32,20260414100050569,6,Big,Red
2026-04-14 10:15:28,20260414100050570,4,Small,Red
2026-04-14 10:15:28,20260414100050571,4,Small,Red
2026-04-14 10:16:28,20260414100050572,4,Small,Red
2026-04-14 10:16:28,20260414100050573,5,Big,Green+Violet
2026-04-14 10:16:57,20260414100050574,6,Big,Red
2026-04-14 10:17:57,20260414100050575,0,Small,Red+Violet
2026-04-14 10:17:57,20260414100050576,0,Small,Red+Violet
2026-04-14 10:19:28,20260414100050577,1,Small,Green
2026-04-14 10:19:28,20260414100050578,6,Big,Red
2026-04-14 10:19:28,20260414100050579,3,Small,Green
2026-04-14 10:20:28,20260414100050580,0,Small,Red+Violet
2026-04-14 10:20:28,20260414100050581,3,Small,Green
2026-04-14 10:20:57,20260414100050582,8,Big,Red
2026-04-14 10:21:28,20260414100050583,4,Small,Red
2026-04-14 10:21:58,20260414100050584,7,Big,Green
2026-04-14 10:22:28,20260414100050585,9,Big,Green
2026-04-14 10:23:29,20260414100050586,2,Small,Red
2026-04-14 10:23:29,20260414100050587,3,Small,Green
2026-04-14 10:24:27,20260414100050588,0,Small,Red+Violet
2026-04-14 10:24:27,20260414100050589,6,Big,Red
2026-04-14 10:24:58,20260414100050590,4,Small,Red
